"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","152/3896","402/18860",0.378109452736318,1.83037584153156,8.58697830967846,1.12361043498437e-15,7.07312768822661e-12,6.15265419240915e-12,"ADAM17/ARG1/ARID5A/ATAD5/B2M/BRD2/BRD4/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD226/CD274/CD28/CD46/CD55/CD69/CD70/CD8A/CLEC7A/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CXCL13/CYRIB/DENND1B/ENTPD7/ERCC1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FZD5/GATA3/GNL1/HLA-DRA/HLA-DRB1/HLA-F/HLX/HRAS/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL1B/IL2RB/IL7R/IRF4/IRF7/JAK2/JUNB/KLHL6/KMT5C/LEF1/LGALS1/MALT1/MAP3K7/MAPK3/MASP2/MEF2C/MICA/MTOR/MYO1G/NBN/NCKAP1L/NFKB2/NFKBIZ/PARP3/PKN1/PRKCQ/PTPRC/RC3H1/RFTN1/RIPK2/RNF168/SEMA4A/SLAMF1/SLAMF6/SLC15A4/SMAD7/STAT4/STX7/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR4/TLR8/TNFSF13/TNFSF13B/TNFSF4/TRAF2/TRPM4/TYK2/UFL1/ULBP2/UNC93B1/USP5/ZBTB7B",152
"GO:0030098","lymphocyte differentiation","161/3896","441/18860",0.365079365079365,1.76729897982465,8.31947356590608,6.06996776086067e-15,1.9105223527309e-11,1.66189327852617e-11,"ADAM17/AP3B1/AP3D1/ARID2/ARMC5/ATG5/ATM/AXL/B2M/BAD/BAX/BCL11B/BCL2/BMP4/BRD2/BRD4/CAMK4/CCR2/CCR6/CCR7/CD19/CD2/CD28/CD3D/CD46/CD69/CD79A/CD83/CD86/CD8A/CHD7/CLEC4D/CR1/CR2/CTLA4/CTSL/CYLD/DCLRE1C/DDRGK1/DLL1/DNAJB9/DOCK10/DOCK11/DOCK2/EGR1/EGR3/ENTPD7/ERBB2/EZH2/FBXO7/FCRL3/FLT3LG/FNIP1/FOSL2/FZD5/FZD7/FZD8/GATA3/GPR183/GPR65/GPR89A/GPR89B/GPS2/HDAC5/HHEX/HLA-DRA/HLA-DRB1/HLX/ICOS/ICOSLG/ID2/IFNG/IGHM/IKZF1/IKZF3/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/ITGA4/ITK/JAG2/JAK2/JUNB/KAT2A/KDELR1/LAPTM5/LEF1/LFNG/LGALS1/LRRC8A/MALT1/MTOR/NCAPH2/NCKAP1L/NFIL3/NFKBIZ/PAX5/PGLYRP3/PIK3R2/PLCL2/POLM/PPP2R3C/PRDM1/PRDX2/PRKDC/PTK2B/PTPN2/PTPRC/PTPRJ/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RNF41/RUNX1/RUNX3/SART1/SEMA4A/SHB/SHH/SLAMF1/SLAMF6/SLC39A7/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SP3/SRF/ST3GAL1/STAT4/STK11/SYK/TBX21/TCF3/TGFB1/TGFBR2/THEMIS/TMEM131L/TNFSF13B/TNFSF4/TOX/TPD52/VNN1/XBP1/ZAP70/ZBTB7A/ZBTB7B/ZEB1/ZFPM1",161
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","140/3896","385/18860",0.363636363636364,1.76031360836289,7.69087688985319,5.12232668147376e-13,7.07319564584765e-10,6.15271330624965e-10,"AKT1/BAG6/BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD53/CD79A/CD8A/CHUK/CLEC12B/CLEC4D/CLEC7A/CR1/CR2/CTLA4/CYLD/DAB2IP/DENND1B/ECSIT/EIF2B4/ELF1/F2RL1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FCRL3/FOSL2/FPR1/FPR2/FPR3/FYB1/GATA3/GBP1/GCSAM/GDI1/GPS2/HLA-DRB1/HRAS/ICOSLG/IFI35/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/IRAK1/IRAK4/IRF3/ITK/KCNN4/KLHL6/KLRC3/KLRK1/LAPTM5/LBP/LCP2/LIMK1/LPXN/LY96/LYN/MALT1/MAP2K4/MAP2K7/MAP3K1/MAP3K7/MAPK8/MEF2C/MFHAS1/MNDA/MYO1G/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/NR1D1/PDE4B/PDE4D/PELI1/PHPT1/PIK3AP1/PLCL2/PLD2/PLSCR1/PRKCB/PRKCE/PRKCQ/PTPN2/PTPRC/PTPRJ/RAB13/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SIVA1/SKAP1/STAP1/STK11/SYK/TAX1BP1/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TRAC/TRAF3/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TRIL/TXK/UBR2/ZAP70",140
"GO:0019724","B cell mediated immunity","88/3896","206/18860",0.427184466019417,2.06794122924184,7.8639353034054,5.16662795388521e-13,7.07319564584765e-10,6.15271330624965e-10,"ATAD5/C4A/C4B/CARD9/CCR6/CD19/CD226/CD28/CD46/CD55/CD70/CLU/CR1/CR1L/CR2/CSF2RB/ERCC1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL2RB/IRF7/KMT5C/MASP2/NBN/NFKBIZ/PARP3/PTPRC/RNF168/SLC15A4/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4",88
"GO:0016064","immunoglobulin mediated immune response","87/3896","203/18860",0.428571428571429,2.07465532414198,7.85491088783044,5.61810615238098e-13,7.07319564584765e-10,6.15271330624965e-10,"ATAD5/C4A/C4B/CARD9/CCR6/CD19/CD226/CD28/CD46/CD55/CLU/CR1/CR1L/CR2/CSF2RB/ERCC1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL2RB/IRF7/KMT5C/MASP2/NBN/NFKBIZ/PARP3/PTPRC/RNF168/SLC15A4/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4",87
"GO:0002429","immune response-activating cell surface receptor signaling pathway","130/3896","353/18860",0.368271954674221,1.78275386682644,7.57511999122917,1.23115931572989e-12,1.29169131541994e-09,1.12359487025033e-09,"AKT1/BAG6/BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD53/CD79A/CD8A/CHUK/CLEC7A/CR1/CR2/CTLA4/CYLD/DAB2IP/DENND1B/ECSIT/EIF2B4/ELF1/F2RL1/FCER2/FCMR/FCRL3/FOSL2/FPR1/FPR2/FPR3/FYB1/GATA3/GBP1/GCSAM/GDI1/GPS2/HLA-DRB1/HRAS/ICOSLG/IFI35/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/IRAK1/IRAK4/IRF3/ITK/KCNN4/KLHL6/KLRC3/KLRK1/LAPTM5/LBP/LCP2/LIMK1/LPXN/LY96/LYN/MALT1/MAP3K7/MEF2C/MFHAS1/MNDA/MYO1G/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/NR1D1/PDE4B/PDE4D/PELI1/PHPT1/PIK3AP1/PLCL2/PLD2/PLSCR1/PRKCB/PRKCE/PTPN2/PTPRC/PTPRJ/RAB13/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SIVA1/SKAP1/STAP1/STK11/SYK/TAX1BP1/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TRAC/TRAF3/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TRIL/TXK/UBR2/ZAP70",130
"GO:0002449","lymphocyte mediated immunity","139/3896","388/18860",0.358247422680412,1.73422648658947,7.4564808133241,2.23576513055285e-12,2.01059164240432e-09,1.74893988107308e-09,"AP1G1/ARG1/ARID5A/ARL8B/ATAD5/B2M/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD2/CD226/CD274/CD28/CD46/CD55/CD70/CD8A/CD96/CLEC12B/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CYRIB/DENND1B/ERCC1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FZD5/GATA3/GNL1/GZMB/HLA-DRA/HLA-DRB1/HLA-F/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL18RAP/IL1B/IL2RB/IL7R/IRF7/KLRB1/KLRC3/KLRK1/KMT5C/LYST/MALT1/MAP3K7/MAPK3/MASP2/MICA/MYO1G/NBN/NCKAP1L/NFKBIZ/NKG7/PARP3/PTPRC/RASGRP1/RFTN1/RNF168/SLAMF1/SLAMF6/SLAMF7/SLC15A4/SMAD7/STX7/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TIGIT/TLR8/TNFSF13/TNFSF4/TRAF2/TRPM4/UFL1/ULBP2/UNC93B1/USP5",139
"GO:0050851","antigen receptor-mediated signaling pathway","89/3896","215/18860",0.413953488372093,2.00389188672938,7.55387745472866,3.2113696567806e-12,2.52694649867924e-09,2.19809802033851e-09,"BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD53/CD79A/CD8A/CTLA4/CYLD/DENND1B/EIF2B4/ELF1/FCMR/FCRL3/FOSL2/FYB1/GATA3/GBP1/GCSAM/GPS2/HLA-DRB1/HRAS/ICOSLG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/ITK/KCNN4/KLHL6/LAPTM5/LCP2/LPXN/LYN/MALT1/MAP3K7/MEF2C/MNDA/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/PDE4B/PDE4D/PHPT1/PLCL2/PRKCB/PTPN2/PTPRC/PTPRJ/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SIVA1/SKAP1/STAP1/STK11/SYK/THEMIS/TRAC/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TXK/UBR2/ZAP70",89
"GO:0030217","T cell differentiation","119/3896","330/18860",0.360606060606061,1.7456443282932,6.97261897821657,5.27814244762691e-11,3.69176741197905e-08,3.21133298392459e-08,"ADAM17/AP3B1/AP3D1/ARID2/ARMC5/ATG5/B2M/BAD/BCL11B/BCL2/BMP4/BRD2/BRD4/CAMK4/CCR2/CCR6/CCR7/CD2/CD28/CD3D/CD46/CD69/CD83/CD86/CD8A/CHD7/CLEC4D/CR1/CTLA4/CTSL/CYLD/DOCK2/EGR1/EGR3/ENTPD7/ERBB2/FOSL2/FZD5/FZD7/FZD8/GATA3/GPR183/GPR65/GPR89A/GPR89B/HLA-DRA/HLA-DRB1/HLX/ICOS/ICOSLG/IFNG/IKZF3/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/ITK/JAG2/JAK2/JUNB/KAT2A/KDELR1/LEF1/LFNG/LGALS1/MALT1/MTOR/NCAPH2/NCKAP1L/NFKBIZ/PIK3R2/PRDM1/PRDX2/PRKDC/PTPN2/PTPRC/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SEMA4A/SHB/SHH/SLAMF6/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SP3/SRF/STAT4/STK11/SYK/TBX21/TGFB1/TGFBR2/THEMIS/TMEM131L/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB7B/ZEB1/ZFPM1",119
"GO:0002443","leukocyte mediated immunity","160/3896","488/18860",0.327868852459016,1.58716800754031,6.70562143569618,1.53817642329795e-10,9.68282058466062e-08,8.42273026736417e-08,"ADAM17/ADGRE2/AP1G1/ARG1/ARID5A/ARL8B/ATAD5/B2M/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD2/CD226/CD274/CD28/CD46/CD55/CD70/CD84/CD8A/CD96/CLEC12B/CLEC7A/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CXCL6/CYRIB/DENND1B/DNASE1L3/ERCC1/F2RL1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FES/FZD5/GAB2/GATA3/GNL1/GZMB/HLA-DRA/HLA-DRB1/HLA-F/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL18RAP/IL1B/IL2RB/IL7R/IRAK4/IRF7/KLRB1/KLRC3/KLRK1/KMT5C/LYN/LYST/MALT1/MAP3K7/MAPK3/MASP2/MICA/MYO1G/NBN/NCKAP1L/NFKBIZ/NKG7/PARP3/PIK3CG/PTPRC/RASGRP1/RFTN1/RNF168/S100A13/SLAMF1/SLAMF6/SLAMF7/SLC15A4/SMAD7/SPHK2/STAP1/STX4/STX7/SUPT6H/SUSD4/SYK/TBX21/TFRC/TGFB1/TIGIT/TLR4/TLR8/TNFSF13/TNFSF4/TRAF2/TREM1/TRPM4/UFL1/ULBP2/UNC93B1/USP5/VAMP2/VAMP8",160
